Timestamp,CUSIP,Bid,Ask
000000016000,9128283F5,99-016,99-021
000000016000,912810TM0,99-016,99-021
000000016000,912810RZ3,99-016,99-021
000000017000,9128283H1,99-017,99-022
000000017000,9128283L2,99-017,99-022
000000017000,912828M80,99-017,99-022
000000017000,9128283J7,99-017,99-022
000000017000,9128283F5,99-017,99-022
000000017000,912810TM0,99-017,99-022
000000017000,912810RZ3,99-017,99-022
000000018000,9128283H1,99-020,99-023
000000018000,9128283L2,99-020,99-023
000000018000,912828M80,99-020,99-023
000000018000,9128283J7,99-020,99-023
000000018000,9128283F5,99-020,99-023
000000018000,912810TM0,99-020,99-023
000000018000,912810RZ3,99-020,99-023
000000019000,9128283H1,99-021,99-02+
000000019000,9128283L2,99-021,99-02+
000000019000,912828M80,99-021,99-02+
000000019000,9128283J7,99-021,99-02+
000000019000,9128283F5,99-021,99-02+
000000019000,912810TM0,99-021,99-02+
000000019000,912810RZ3,99-021,99-02+
000000020000,9128283H1,99-022,99-025
000000020000,9128283L2,99-022,99-025
000000020000,912828M80,99-022,99-025
000000020000,9128283J7,99-022,99-025
000000020000,9128283F5,99-022,99-025
000000020000,912810TM0,99-022,99-025
000000020000,912810RZ3,99-022,99-025
000000021000,9128283H1,99-023,99-026
000000021000,9128283L2,99-023,99-026
000000021000,912828M80,99-023,99-026
000000021000,9128283J7,99-023,99-026
000000021000,9128283F5,99-023,99-026
000000021000,912810TM0,99-023,99-026
000000021000,912810RZ3,99-023,99-026
000000022000,9128283H1,99-02+,99-027
000000022000,9128283L2,99-02+,99-027
000000022000,912828M80,99-02+,99-027
000000022000,9128283J7,99-02+,99-027
000000022000,9128283F5,99-02+,99-027
000000022000,912810TM0,99-02+,99-027
000000022000,912810RZ3,99-02+,99-027
000000023000,9128283H1,99-025,99-030
000000023000,9128283L2,99-025,99-030
000000023000,912828M80,99-025,99-030
000000023000,9128283J7,99-025,99-030
000000023000,9128283F5,99-025,99-030
000000023000,912810TM0,99-025,99-030
000000023000,912810RZ3,99-025,99-030
000000024000,9128283H1,99-026,99-031
000000024000,9128283L2,99-026,99-031
000000024000,912828M80,99-026,99-031
000000024000,9128283J7,99-026,99-031
000000024000,9128283F5,99-026,99-031
000000024000,912810TM0,99-026,99-031
000000024000,912810RZ3,99-026,99-031
000000025000,9128283H1,99-027,99-032
000000025000,9128283L2,99-027,99-032
000000025000,912828M80,99-027,99-032
000000025000,9128283J7,99-027,99-032
000000025000,9128283F5,99-027,99-032
000000025000,912810TM0,99-027,99-032
000000025000,912810RZ3,99-027,99-032
000000026000,9128283H1,99-030,99-033
000000026000,9128283L2,99-030,99-033
000000026000,912828M80,99-030,99-033
000000026000,9128283J7,99-030,99-033
000000026000,9128283F5,99-030,99-033
000000026000,912810TM0,99-030,99-033
000000026000,912810RZ3,99-030,99-033
000000027000,9128283H1,99-031,99-03+
000000027000,9128283L2,99-031,99-03+
000000027000,912828M80,99-031,99-03+
000000027000,9128283J7,99-031,99-03+
000000027000,9128283F5,99-031,99-03+
000000027000,912810TM0,99-031,99-03+
000000027000,912810RZ3,99-031,99-03+
000000028000,9128283H1,99-032,99-035
000000028000,9128283L2,99-032,99-035
000000028000,912828M80,99-032,99-035
000000028000,9128283J7,99-032,99-035
000000028000,9128283F5,99-032,99-035
000000028000,912810TM0,99-032,99-035
000000028000,912810RZ3,99-032,99-035
000000029000,9128283H1,99-033,99-036
000000029000,9128283L2,99-033,99-036
000000029000,912828M80,99-033,99-036
000000029000,9128283J7,99-033,99-036
000000029000,9128283F5,99-033,99-036
000000029000,912810TM0,99-033,99-036
000000029000,912810RZ3,99-033,99-036
000000030000,9128283H1,99-03+,99-037
000000030000,9128283L2,99-03+,99-037
000000030000,912828M80,99-03+,99-037
000000030000,9128283J7,99-03+,99-037
000000030000,9128283F5,99-03+,99-037
000000030000,912810TM0,99-03+,99-037
000000030000,912810RZ3,99-03+,99-037
000000031000,9128283H1,99-035,99-040
000000031000,9128283L2,99-035,99-040
000000031000,912828M80,99-035,99-040
000000031000,9128283J7,99-035,99-040
000000031000,9128283F5,99-035,99-040
000000031000,912810TM0,99-035,99-040
000000031000,912810RZ3,99-035,99-040
000000032000,9128283H1,99-036,99-041
000000032000,9128283L2,99-036,99-041
000000032000,912828M80,99-036,99-041
000000032000,9128283J7,99-036,99-041
000000032000,9128283F5,99-036,99-041
000000032000,912810TM0,99-036,99-041
000000032000,912810RZ3,99-036,99-041
000000033000,9128283H1,99-037,99-042
000000033000,9128283L2,99-037,99-042
000000033000,912828M80,99-037,99-042
000000033000,9128283J7,99-037,99-042
000000033000,9128283F5,99-037,99-042
000000033000,912810TM0,99-037,99-042
000000033000,912810RZ3,99-037,99-042
000000034000,9128283H1,99-040,99-043
000000034000,9128283L2,99-040,99-043
000000034000,912828M80,99-040,99-043
000000034000,9128283J7,99-040,99-043
000000034000,9128283F5,99-040,99-043
000000034000,912810TM0,99-040,99-043
000000034000,912810RZ3,99-040,99-043
000000035000,9128283H1,99-041,99-04+
000000035000,9128283L2,99-041,99-04+
000000035000,912828M80,99-041,99-04+
000000035000,9128283J7,99-041,99-04+
000000035000,9128283F5,99-041,99-04+
000000035000,912810TM0,99-041,99-04+
000000035000,912810RZ3,99-041,99-04+
000000036000,9128283H1,99-042,99-045
000000036000,9128283L2,99-042,99-045
000000036000,912828M80,99-042,99-045
000000036000,9128283J7,99-042,99-045
000000036000,9128283F5,99-042,99-045
000000036000,912810TM0,99-042,99-045
000000036000,912810RZ3,99-042,99-045
000000037000,9128283H1,99-043,99-046
000000037000,9128283L2,99-043,99-046
000000037000,912828M80,99-043,99-046
000000037000,9128283J7,99-043,99-046
000000037000,9128283F5,99-043,99-046
000000037000,912810TM0,99-043,99-046
000000037000,912810RZ3,99-043,99-046
000000038000,9128283H1,99-04+,99-047
000000038000,9128283L2,99-04+,99-047
000000038000,912828M80,99-04+,99-047
000000038000,9128283J7,99-04+,99-047
000000038000,9128283F5,99-04+,99-047
000000038000,912810TM0,99-04+,99-047
000000038000,912810RZ3,99-04+,99-047
000000039000,9128283H1,99-045,99-050
000000039000,9128283L2,99-045,99-050
000000039000,912828M80,99-045,99-050
000000039000,9128283J7,99-045,99-050
000000039000,9128283F5,99-045,99-050
000000039000,912810TM0,99-045,99-050
000000039000,912810RZ3,99-045,99-050
000000040000,9128283H1,99-046,99-051
000000040000,9128283L2,99-046,99-051
000000040000,912828M80,99-046,99-051
000000040000,9128283J7,99-046,99-051
000000040000,9128283F5,99-046,99-051
000000040000,912810TM0,99-046,99-051
000000040000,912810RZ3,99-046,99-051
000000041000,9128283H1,99-047,99-052
000000041000,9128283L2,99-047,99-052
000000041000,912828M80,99-047,99-052
000000041000,9128283J7,99-047,99-052
000000041000,9128283F5,99-047,99-052
000000041000,912810TM0,99-047,99-052
000000041000,912810RZ3,99-047,99-052
000000042000,9128283H1,99-050,99-053
000000042000,9128283L2,99-050,99-053
000000042000,912828M80,99-050,99-053
000000042000,9128283J7,99-050,99-053
000000042000,9128283F5,99-050,99-053
000000042000,912810TM0,99-050,99-053
000000042000,912810RZ3,99-050,99-053
000000043000,9128283H1,99-051,99-05+
000000043000,9128283L2,99-051,99-05+
000000043000,912828M80,99-051,99-05+
000000043000,9128283J7,99-051,99-05+
000000043000,9128283F5,99-051,99-05+
000000043000,912810TM0,99-051,99-05+
000000043000,912810RZ3,99-051,99-05+
000000044000,9128283H1,99-052,99-055
000000044000,9128283L2,99-052,99-055
000000044000,912828M80,99-052,99-055
000000044000,9128283J7,99-052,99-055
000000044000,9128283F5,99-052,99-055
000000044000,912810TM0,99-052,99-055
000000044000,912810RZ3,99-052,99-055
000000045000,9128283H1,99-053,99-056
000000045000,9128283L2,99-053,99-056
000000045000,912828M80,99-053,99-056
000000045000,9128283J7,99-053,99-056
000000045000,9128283F5,99-053,99-056
000000045000,912810TM0,99-053,99-056
000000045000,912810RZ3,99-053,99-056
000000046000,9128283H1,99-05+,99-057
000000046000,9128283L2,99-05+,99-057
000000046000,912828M80,99-05+,99-057
000000046000,9128283J7,99-05+,99-057
000000046000,9128283F5,99-05+,99-057
000000046000,912810TM0,99-05+,99-057
000000046000,912810RZ3,99-05+,99-057
000000047000,9128283H1,99-055,99-060
000000047000,9128283L2,99-055,99-060
000000047000,912828M80,99-055,99-060
000000047000,9128283J7,99-055,99-060
000000047000,9128283F5,99-055,99-060
000000047000,912810TM0,99-055,99-060
000000047000,912810RZ3,99-055,99-060
000000048000,9128283H1,99-056,99-061
000000048000,9128283L2,99-056,99-061
000000048000,912828M80,99-056,99-061
000000048000,9128283J7,99-056,99-061
000000048000,9128283F5,99-056,99-061
000000048000,912810TM0,99-056,99-061
000000048000,912810RZ3,99-056,99-061
000000049000,9128283H1,99-057,99-062
000000049000,9128283L2,99-057,99-062
000000049000,912828M80,99-057,99-062
000000049000,9128283J7,99-057,99-062
000000049000,9128283F5,99-057,99-062
000000049000,912810TM0,99-057,99-062
000000049000,912810RZ3,99-057,99-062
000000050000,9128283H1,99-060,99-063
000000050000,9128283L2,99-060,99-063
000000050000,912828M80,99-060,99-063
000000050000,9128283J7,99-060,99-063
000000050000,9128283F5,99-060,99-063
000000050000,912810TM0,99-060,99-063
000000050000,912810RZ3,99-060,99-063
000000051000,9128283H1,99-061,99-06+
000000051000,9128283L2,99-061,99-06+
000000051000,912828M80,99-061,99-06+
000000051000,9128283J7,99-061,99-06+
000000051000,9128283F5,99-061,99-06+
000000051000,912810TM0,99-061,99-06+
000000051000,912810RZ3,99-061,99-06+
000000052000,9128283H1,99-062,99-065
000000052000,9128283L2,99-062,99-065
000000052000,912828M80,99-062,99-065
000000052000,9128283J7,99-062,99-065
000000052000,9128283F5,99-062,99-065
000000052000,912810TM0,99-062,99-065
000000052000,912810RZ3,99-062,99-065
000000053000,9128283H1,99-063,99-066
000000053000,9128283L2,99-063,99-066
000000053000,912828M80,99-063,99-066
000000053000,9128283J7,99-063,99-066
000000053000,9128283F5,99-063,99-066
000000053000,912810TM0,99-063,99-066
000000053000,912810RZ3,99-063,99-066
000000054000,9128283H1,99-06+,99-067
000000054000,9128283L2,99-06+,99-067
000000054000,912828M80,99-06+,99-067
000000054000,9128283J7,99-06+,99-067
000000054000,9128283F5,99-06+,99-067
000000054000,912810TM0,99-06+,99-067
000000054000,912810RZ3,99-06+,99-067
000000055000,9128283H1,99-065,99-070
000000055000,9128283L2,99-065,99-070
000000055000,912828M80,99-065,99-070
000000055000,9128283J7,99-065,99-070
000000055000,9128283F5,99-065,99-070
000000055000,912810TM0,99-065,99-070
000000055000,912810RZ3,99-065,99-070
000000056000,9128283H1,99-066,99-071
000000056000,9128283L2,99-066,99-071
000000056000,912828M80,99-066,99-071
000000056000,9128283J7,99-066,99-071
000000056000,9128283F5,99-066,99-071
000000056000,912810TM0,99-066,99-071
000000056000,912810RZ3,99-066,99-071
000000057000,9128283H1,99-067,99-072
000000057000,9128283L2,99-067,99-072
000000057000,912828M80,99-067,99-072
000000057000,9128283J7,99-067,99-072
000000057000,9128283F5,99-067,99-072
000000057000,912810TM0,99-067,99-072
000000057000,912810RZ3,99-067,99-072
000000058000,9128283H1,99-070,99-073
000000058000,9128283L2,99-070,99-073
000000058000,912828M80,99-070,99-073
000000058000,9128283J7,99-070,99-073
000000058000,9128283F5,99-070,99-073
000000058000,912810TM0,99-070,99-073
000000058000,912810RZ3,99-070,99-073
000000059000,9128283H1,99-071,99-07+
000000059000,9128283L2,99-071,99-07+
000000059000,912828M80,99-071,99-07+
000000059000,9128283J7,99-071,99-07+
000000059000,9128283F5,99-071,99-07+
000000059000,912810TM0,99-071,99-07+
000000059000,912810RZ3,99-071,99-07+
000000060000,9128283H1,99-072,99-075
000000060000,9128283L2,99-072,99-075
000000060000,912828M80,99-072,99-075
000000060000,9128283J7,99-072,99-075
000000060000,9128283F5,99-072,99-075
000000060000,912810TM0,99-072,99-075
000000060000,912810RZ3,99-072,99-075
000000061000,9128283H1,99-073,99-076
000000061000,9128283L2,99-073,99-076
000000061000,912828M80,99-073,99-076
000000061000,9128283J7,99-073,99-076
000000061000,9128283F5,99-073,99-076
000000061000,912810TM0,99-073,99-076
000000061000,912810RZ3,99-073,99-076
000000062000,9128283H1,99-07+,99-077
000000062000,9128283L2,99-07+,99-077
000000062000,912828M80,99-07+,99-077
000000062000,9128283J7,99-07+,99-077
000000062000,9128283F5,99-07+,99-077
000000062000,912810TM0,99-07+,99-077
000000062000,912810RZ3,99-07+,99-077
000000063000,9128283H1,99-075,99-080
000000063000,9128283L2,99-075,99-080
000000063000,912828M80,99-075,99-080
000000063000,9128283J7,99-075,99-080
000000063000,9128283F5,99-075,99-080
000000063000,912810TM0,99-075,99-080
000000063000,912810RZ3,99-075,99-080
000000064000,9128283H1,99-076,99-081
000000064000,9128283L2,99-076,99-081
000000064000,912828M80,99-076,99-081
000000064000,9128283J7,99-076,99-081
000000064000,9128283F5,99-076,99-081
000000064000,912810TM0,99-076,99-081
000000064000,912810RZ3,99-076,99-081
000000065000,9128283H1,99-077,99-082
000000065000,9128283L2,99-077,99-082
000000065000,912828M80,99-077,99-082
000000065000,9128283J7,99-077,99-082
000000065000,9128283F5,99-077,99-082
000000065000,912810TM0,99-077,99-082
000000065000,912810RZ3,99-077,99-082
000000066000,9128283H1,99-080,99-083
000000066000,9128283L2,99-080,99-083
000000066000,912828M80,99-080,99-083
000000066000,9128283J7,99-080,99-083
000000066000,9128283F5,99-080,99-083
000000066000,912810TM0,99-080,99-083
000000066000,912810RZ3,99-080,99-083
000000067000,9128283H1,99-081,99-08+
000000067000,9128283L2,99-081,99-08+
000000067000,912828M80,99-081,99-08+
000000067000,9128283J7,99-081,99-08+
000000067000,9128283F5,99-081,99-08+
000000067000,912810TM0,99-081,99-08+
000000067000,912810RZ3,99-081,99-08+
000000068000,9128283H1,99-082,99-085
000000068000,9128283L2,99-082,99-085
000000068000,912828M80,99-082,99-085
000000068000,9128283J7,99-082,99-085
000000068000,9128283F5,99-082,99-085
000000068000,912810TM0,99-082,99-085
000000068000,912810RZ3,99-082,99-085
000000069000,9128283H1,99-083,99-086
000000069000,9128283L2,99-083,99-086
000000069000,912828M80,99-083,99-086
000000069000,9128283J7,99-083,99-086
000000069000,9128283F5,99-083,99-086
000000069000,912810TM0,99-083,99-086
000000069000,912810RZ3,99-083,99-086
000000070000,9128283H1,99-08+,99-087
000000070000,9128283L2,99-08+,99-087
000000070000,912828M80,99-08+,99-087
000000070000,9128283J7,99-08+,99-087
000000070000,9128283F5,99-08+,99-087
000000070000,912810TM0,99-08+,99-087
000000070000,912810RZ3,99-08+,99-087
000000071000,9128283H1,99-085,99-090
000000071000,9128283L2,99-085,99-090
000000071000,912828M80,99-085,99-090
000000071000,9128283J7,99-085,99-090
000000071000,9128283F5,99-085,99-090
000000071000,912810TM0,99-085,99-090
000000071000,912810RZ3,99-085,99-090
000000072000,9128283H1,99-086,99-091
000000072000,9128283L2,99-086,99-091
000000072000,912828M80,99-086,99-091
000000072000,9128283J7,99-086,99-091
000000072000,9128283F5,99-086,99-091
000000072000,912810TM0,99-086,99-091
000000072000,912810RZ3,99-086,99-091
000000073000,9128283H1,99-087,99-092
000000073000,9128283L2,99-087,99-092
000000073000,912828M80,99-087,99-092
000000073000,9128283J7,99-087,99-092
000000073000,9128283F5,99-087,99-092
000000073000,912810TM0,99-087,99-092
000000073000,912810RZ3,99-087,99-092
000000074000,9128283H1,99-090,99-093
000000074000,9128283L2,99-090,99-093
000000074000,912828M80,99-090,99-093
000000074000,9128283J7,99-090,99-093
000000074000,9128283F5,99-090,99-093
000000074000,912810TM0,99-090,99-093
000000074000,912810RZ3,99-090,99-093
000000075000,9128283H1,99-091,99-09+
000000075000,9128283L2,99-091,99-09+
000000075000,912828M80,99-091,99-09+
000000075000,9128283J7,99-091,99-09+
000000075000,9128283F5,99-091,99-09+
000000075000,912810TM0,99-091,99-09+
000000075000,912810RZ3,99-091,99-09+
000000076000,9128283H1,99-092,99-095
000000076000,9128283L2,99-092,99-095
000000076000,912828M80,99-092,99-095
000000076000,9128283J7,99-092,99-095
000000076000,9128283F5,99-092,99-095
000000076000,912810TM0,99-092,99-095
000000076000,912810RZ3,99-092,99-095
000000077000,9128283H1,99-093,99-096
000000077000,9128283L2,99-093,99-096
000000077000,912828M80,99-093,99-096
000000077000,9128283J7,99-093,99-096
000000077000,9128283F5,99-093,99-096
000000077000,912810TM0,99-093,99-096
000000077000,912810RZ3,99-093,99-096
000000078000,9128283H1,99-09+,99-097
000000078000,9128283L2,99-09+,99-097
000000078000,912828M80,99-09+,99-097
000000078000,9128283J7,99-09+,99-097
000000078000,9128283F5,99-09+,99-097
000000078000,912810TM0,99-09+,99-097
000000078000,912810RZ3,99-09+,99-097
000000079000,9128283H1,99-095,99-100
000000079000,9128283L2,99-095,99-100
000000079000,912828M80,99-095,99-100
000000079000,9128283J7,99-095,99-100
000000079000,9128283F5,99-095,99-100
000000079000,912810TM0,99-095,99-100
000000079000,912810RZ3,99-095,99-100
000000080000,9128283H1,99-096,99-101
000000080000,9128283L2,99-096,99-101
000000080000,912828M80,99-096,99-101
000000080000,9128283J7,99-096,99-101
000000080000,9128283F5,99-096,99-101
000000080000,912810TM0,99-096,99-101
000000080000,912810RZ3,99-096,99-101
000000081000,9128283H1,99-097,99-102
000000081000,9128283L2,99-097,99-102
000000081000,912828M80,99-097,99-102
000000081000,9128283J7,99-097,99-102
000000081000,9128283F5,99-097,99-102
000000081000,912810TM0,99-097,99-102
000000081000,912810RZ3,99-097,99-102
000000082000,9128283H1,99-100,99-103
000000082000,9128283L2,99-100,99-103
000000082000,912828M80,99-100,99-103
000000082000,9128283J7,99-100,99-103
000000082000,9128283F5,99-100,99-103
000000082000,912810TM0,99-100,99-103
000000082000,912810RZ3,99-100,99-103
000000083000,9128283H1,99-101,99-10+
000000083000,9128283L2,99-101,99-10+
000000083000,912828M80,99-101,99-10+
000000083000,9128283J7,99-101,99-10+
000000083000,9128283F5,99-101,99-10+
000000083000,912810TM0,99-101,99-10+
000000083000,912810RZ3,99-101,99-10+
000000084000,9128283H1,99-102,99-105
000000084000,9128283L2,99-102,99-105
000000084000,912828M80,99-102,99-105
000000084000,9128283J7,99-102,99-105
000000084000,9128283F5,99-102,99-105
000000084000,912810TM0,99-102,99-105
000000084000,912810RZ3,99-102,99-105
000000085000,9128283H1,99-103,99-106
000000085000,9128283L2,99-103,99-106
000000085000,912828M80,99-103,99-106
000000085000,9128283J7,99-103,99-106
000000085000,9128283F5,99-103,99-106
000000085000,912810TM0,99-103,99-106
000000085000,912810RZ3,99-103,99-106
000000086000,9128283H1,99-10+,99-107
000000086000,9128283L2,99-10+,99-107
000000086000,912828M80,99-10+,99-107
000000086000,9128283J7,99-10+,99-107
000000086000,9128283F5,99-10+,99-107
000000086000,912810TM0,99-10+,99-107
000000086000,912810RZ3,99-10+,99-107
000000087000,9128283H1,99-105,99-110
000000087000,9128283L2,99-105,99-110
000000087000,912828M80,99-105,99-110
000000087000,9128283J7,99-105,99-110
000000087000,9128283F5,99-105,99-110
000000087000,912810TM0,99-105,99-110
000000087000,912810RZ3,99-105,99-110
000000088000,9128283H1,99-106,99-111
000000088000,9128283L2,99-106,99-111
000000088000,912828M80,99-106,99-111
000000088000,9128283J7,99-106,99-111
000000088000,9128283F5,99-106,99-111
000000088000,912810TM0,99-106,99-111
000000088000,912810RZ3,99-106,99-111
000000089000,9128283H1,99-107,99-112
000000089000,9128283L2,99-107,99-112
000000089000,912828M80,99-107,99-112
000000089000,9128283J7,99-107,99-112
000000089000,9128283F5,99-107,99-112
000000089000,912810TM0,99-107,99-112
000000089000,912810RZ3,99-107,99-112
000000090000,9128283H1,99-110,99-113
000000090000,9128283L2,99-110,99-113
000000090000,912828M80,99-110,99-113
000000090000,9128283J7,99-110,99-113
000000090000,9128283F5,99-110,99-113
000000090000,912810TM0,99-110,99-113
000000090000,912810RZ3,99-110,99-113
000000091000,9128283H1,99-111,99-11+
000000091000,9128283L2,99-111,99-11+
000000091000,912828M80,99-111,99-11+
000000091000,9128283J7,99-111,99-11+
000000091000,9128283F5,99-111,99-11+
000000091000,912810TM0,99-111,99-11+
000000091000,912810RZ3,99-111,99-11+
000000092000,9128283H1,99-112,99-115
000000092000,9128283L2,99-112,99-115
000000092000,912828M80,99-112,99-115
000000092000,9128283J7,99-112,99-115
000000092000,9128283F5,99-112,99-115
000000092000,912810TM0,99-112,99-115
000000092000,912810RZ3,99-112,99-115
000000093000,9128283H1,99-113,99-116
000000093000,9128283L2,99-113,99-116
000000093000,912828M80,99-113,99-116
000000093000,9128283J7,99-113,99-116
000000093000,9128283F5,99-113,99-116
000000093000,912810TM0,99-113,99-116
000000093000,912810RZ3,99-113,99-116
000000094000,9128283H1,99-11+,99-117
000000094000,9128283L2,99-11+,99-117
000000094000,912828M80,99-11+,99-117
000000094000,9128283J7,99-11+,99-117
000000094000,9128283F5,99-11+,99-117
000000094000,912810TM0,99-11+,99-117
000000094000,912810RZ3,99-11+,99-117
000000095000,9128283H1,99-115,99-120
000000095000,9128283L2,99-115,99-120
000000095000,912828M80,99-115,99-120
000000095000,9128283J7,99-115,99-120
000000095000,9128283F5,99-115,99-120
000000095000,912810TM0,99-115,99-120
000000095000,912810RZ3,99-115,99-120
000000096000,9128283H1,99-116,99-121
000000096000,9128283L2,99-116,99-121
000000096000,912828M80,99-116,99-121
000000096000,9128283J7,99-116,99-121
000000096000,9128283F5,99-116,99-121
000000096000,912810TM0,99-116,99-121
000000096000,912810RZ3,99-116,99-121
000000097000,9128283H1,99-117,99-122
000000097000,9128283L2,99-117,99-122
000000097000,912828M80,99-117,99-122
000000097000,9128283J7,99-117,99-122
000000097000,9128283F5,99-117,99-122
000000097000,912810TM0,99-117,99-122
000000097000,912810RZ3,99-117,99-122
000000098000,9128283H1,99-120,99-123
000000098000,9128283L2,99-120,99-123
000000098000,912828M80,99-120,99-123
000000098000,9128283J7,99-120,99-123
000000098000,9128283F5,99-120,99-123
000000098000,912810TM0,99-120,99-123
000000098000,912810RZ3,99-120,99-123
000000099000,9128283H1,99-121,99-12+
000000099000,9128283L2,99-121,99-12+
000000099000,912828M80,99-121,99-12+
000000099000,9128283J7,99-121,99-12+
000000099000,9128283F5,99-121,99-12+
000000099000,912810TM0,99-121,99-12+
000000099000,912810RZ3,99-121,99-12+
000000100000,9128283H1,99-122,99-125
000000100000,9128283L2,99-122,99-125
000000100000,912828M80,99-122,99-125
000000100000,9128283J7,99-122,99-125
000000100000,9128283F5,99-122,99-125
000000100000,912810TM0,99-122,99-125
000000100000,912810RZ3,99-122,99-125
000000101000,9128283H1,99-123,99-126
000000101000,9128283L2,99-123,99-126
000000101000,912828M80,99-123,99-126
000000101000,9128283J7,99-123,99-126
000000101000,9128283F5,99-123,99-126
000000101000,912810TM0,99-123,99-126
000000101000,912810RZ3,99-123,99-126
000000102000,9128283H1,99-12+,99-127
000000102000,9128283L2,99-12+,99-127
000000102000,912828M80,99-12+,99-127
000000102000,9128283J7,99-12+,99-127
000000102000,9128283F5,99-12+,99-127
000000102000,912810TM0,99-12+,99-127
000000102000,912810RZ3,99-12+,99-127
000000103000,9128283H1,99-125,99-130
000000103000,9128283L2,99-125,99-130
000000103000,912828M80,99-125,99-130
000000103000,9128283J7,99-125,99-130
